light_high_duration_pre_sleep,sleep_quality,location_mobility_duration_sleep,light_entropy_sleep,accel_morning_movement_ratio,circadian_screen_misalignment
-0.7071067811865475,6,,,,
1.4142135623730947,8,,,,
-0.7071067811865475,6,,,,
,6,-1.0148688549456093,,,
,8,0.9999443129611152,,,
,6,-0.985019770976621,,,
,8,0.9999443129611152,,,
,6,-1.1412306565859167,,,
,8,1.111198270886288,,,
,6,-1.107861339141884,,,
,8,1.111198270886288,,,
,7,0.0266954539552263,,,
,6,,0.7151008132500851,-1.871651754947468,-1.3364360931115706
,8,,-0.4442644574282607,0.3999921024509151,-0.3054890929727365
,6,,-1.5523626066637433,0.3643305034336724,-0.08327362174717
,8,,0.8229393705714633,-0.5870912403471913,1.880239607067975
,7,,-0.795169854759359,0.3867848707218555,0.4546265172775487
,8,,1.253756735029811,1.3076355186882167,-0.6096673165140469
,6,,0.8295979984435651,-1.4146282551795772,-1.3677469384808454
,8,,-0.0382337733248083,0.5884795207198195,-0.2663138707320802
,6,,-0.867690032249682,0.5570335587747742,-0.0289054800580176
,8,,0.9103195179094706,-0.2819185009507512,2.068853569522521
,7,,-0.3009006483733882,0.5768335452785446,0.5457710068891276
,8,,1.232803730747512,1.388828386536767,-0.5912888246844731
,6,,-1.76589679315267,-1.4146282551795772,-0.3603694624562333
