screen_last_on_time,sleep_quality,screen_events_sleep,circadian_screen_misalignment,light_peak_hour_sleep,screen_events_pre_sleep
-0.4163332994147456,5,,,,
-0.962303314814922,4,,,,
1.378636614229669,8,,,,
-0.6841571165586233,5,-0.5773502691896258,,,
-1.2516965427947544,4,1.7320508075688774,,,
1.181725928601259,8,-0.5773502691896258,,,
0.7541277307521195,8,-0.5773502691896258,,,
,5,-0.4999999999999999,1.5761874229575124,-0.3766355295949885,-0.7905694150420949
,4,2.0,0.4736582886923893,-1.2631186463261952,1.5811388300841898
,8,-0.4999999999999999,0.0494714816638938,-0.5443485516792709,-0.7905694150420949
,8,-0.4999999999999999,-0.8431794612774639,1.63112893478542,0.7905694150420949
,7,-0.4999999999999999,-1.2561377320363312,0.5529737928150337,-0.7905694150420949
,5,-0.4472135954999578,1.537316687312956,-0.5162941296649075,-0.6868028197434451
,4,2.2360679774997894,0.3760327300707305,-1.452709953076749,1.785687331332957
,8,-0.4472135954999578,-0.070759394115931,-0.6934538800401209,-0.6868028197434451
,8,-0.4472135954999578,-1.010980552213391,1.6045611676840748,0.9615239476408232
,7,-0.4472135954999578,-1.4459457607857789,0.4656770581291322,-0.6868028197434451
,8,-0.4472135954999578,0.6143362897314146,0.5922197369685703,-0.6868028197434451
,5,,1.6943124929807705,-0.487651998309914,-0.8432740427115678
,4,,0.5277864201677273,-1.486875634087348,1.3703203194062976
,8,,0.0789774456349369,-0.6766943077813206,-0.8432740427115678
,8,,-0.8654879353695367,1.775454506504923,0.632455532033676
,7,,-1.3024166067783838,0.5601825170458817,-0.8432740427115678
,8,,0.7671656984697377,0.6952127380968864,-0.8432740427115678
,7,,-0.9003375151052515,-0.3796278214691105,1.3703203194062976
