accel_morning_movement_ratio,sleep_quality,light_high_duration_pre_sleep,location_immobility_duration_sleep,light_entropy_sleep,location_max_still_duration_full_window
-0.7071067811865475,7,,,,
1.4142135623730951,8,,,,
-0.7071067811865475,7,,,,
,7,-0.6383034243970258,,,
,8,-0.6383034243970258,,,
,7,-0.4503367718138527,,,
,6,1.7269436206079043,,,
,7,,-0.7584940417316183,1.089751336753276,1.151324013952167
,8,,0.5013318014724335,-1.141847794482151,0.0639292524612778
,7,,0.8145481713297941,1.0895364737879647,-0.4737934317924585
,6,,1.016398720793427,0.1071374106793969,0.8884373683170069
,10,,-1.573784651864038,-1.1445774267384874,-1.6298972029379917
,7,,-0.51851784267901,0.9252307737410106,1.318201136141152
,8,,0.6957363398533992,-1.3262329655130234,0.2807412149403318
,7,,0.9976227388255448,0.9250139981702836,-0.2322884164227111
,6,,1.1921717514964836,-0.066129902679682,1.0673866496969977
,10,,-1.3043169582257663,-1.3289868956255688,-1.3353021238532534
,9,,-1.0626960292706524,0.8711049919069794,-1.098738460502517
,7,,-0.6163623911882189,1.0791052026813053,0.5496994378096106
,8,,0.6794662815662385,-1.145336285268986,-0.1368635017375714
,7,,1.0016336311460756,1.0788910288686464,-0.4763726476674966
,6,,1.2092525897641937,0.0996429178997176,0.3837171886883138
,10,,-1.4549520700204774,-1.1480571624878622,-1.2063173114168355
,9,,-1.1970988691160225,1.02562904289236,-1.0497658719047036
,7,,0.3780608278482126,-0.9898747445851824,1.9359027062286829
