location_mobility_ratio_full_window,sleep_quality,screen_last_on_time,location_num_transitions_pre_sleep,circadian_screen_misalignment,circadian_screen_center
0.3525734893227158,6,,,,
1.0097861666599082,5,,,,
-1.3623596559826237,7,,,,
,6,1.088528630976525,,,
,5,-0.7876345378610625,,,
,7,0.8862468877056259,,,
,5,-1.187140980821088,,,
,6,0.7413053365885396,,,
,5,-1.0104416689805569,,,
,7,0.5524377349099308,,,
,5,-1.3834551822958092,,,
,7,1.1001537797778966,,,
,6,0.62414633698304,-0.6965260331469924,1.41492084807348,-0.4723770027157586
,5,-1.191997122002904,-0.6965260331469924,-0.1101164806954429,0.8111706980473309
,7,0.428335721458949,-0.6965260331469924,0.1667949326269945,0.5781082010316086
,5,-1.5787230876629836,-0.6965260331469924,-1.8930494153327528,-1.999170717050379
,7,0.9961865064788132,1.094540909230988,0.5886183071865784,0.2230805487044701
,7,0.7220516447450854,1.6915632233569813,-0.1671681918588581,0.8591882719827278
,6,,-0.8148217143826668,1.5101457457907843,
,5,,-0.8148217143826668,0.1174463223895508,
,7,,-0.8148217143826668,0.3703282410103209,
,5,,-0.8148217143826668,-1.5107693436734626,
,7,,1.0864289525102222,0.7555471202101691,
,7,,1.720179174807852,0.0653453778798958,
,5,,0.4526787302125926,-1.3080434636072586,
