accel_longest_still_period,accel_evening_movement_ratio,sleep_quality,screen_inter_event_std_full_window,screen_inter_event_std_sleep,calls_num_outgoing
-0.8864042309899767,-1.4107211543097553,6,,,
-0.5111121170627688,0.7913801597347406,7,,,
1.3975163480527455,0.6193409945750143,8,,,
,,6,-0.1175597032230273,0.1268610940854628,
,,7,1.2547649330751458,-0.367639649444594,
,,8,0.3708458433465424,1.5023733938334525,
,,4,-1.5080510731986598,-1.2615948384743214,
-0.986497024717332,,6,,,-0.5
-0.5186461322362125,,7,,,-0.5
1.860709835239195,,8,,,-0.5
-0.5186461322362125,,4,,,2.0
0.1630794539505616,,7,,,-0.5
,,6,,,-0.6868028197434451
,,7,,,-0.6868028197434451
,,8,,,-0.6868028197434451
,,4,,,0.961523947640823
,,7,,,-0.6868028197434451
,,5,,,1.785687331332957
,,6,,,
,,7,,,
,,8,,,
,,4,,,
,,7,,,
,,5,,,
,,3,,,
