light_max_pre_sleep,sleep_quality,wifi_scans_pre_sleep,accel_movement_ratio,calls_last_call_time,calls_total_day
1.4142135623730951,7,,,,
-0.7071067811865474,8,,,,
-0.7071067811865474,8,,,,
,7,-1.7320508075688772,-1.109774815334137,-1.6857411860821614,
,8,0.5773502691896257,-0.3199514699060601,0.542028476475962,
,8,0.5773502691896257,-0.1917713732686557,0.8962345316107256,
,8,0.5773502691896257,1.6214976585088514,0.2474781779954737,
,7,,,,-1.224744871391589
,8,,,,0.816496580927726
,8,,,,0.816496580927726
,8,,,,0.816496580927726
,7,,,,-1.224744871391589
,7,-1.094540909230988,,,
,8,0.6965260331469925,,,
,8,0.6965260331469925,,,
,8,0.6965260331469925,,,
,7,-1.6915632233569815,,,
,8,0.6965260331469925,,,
-0.3762106498728421,7,-1.247219128924647,,,
-0.5112606267502726,8,0.6236095644623235,,,
-0.5112606267502726,8,0.6236095644623235,,,
2.392313876114484,8,0.6236095644623235,,,
-0.6125481094083455,7,-1.8708286933869709,,,
-0.477498132530915,8,0.6236095644623235,,,
0.0964642691981646,8,0.6236095644623235,,,
