accel_movement_ratio,sleep_quality,accel_entropy,location_immobility_duration_pre_sleep,light_max_pre_sleep,screen_last_on_time
-1.3945834229251255,8,,,,
0.4939378145812156,7,,,,
0.9006456083439102,6,,,,
,8,-0.8779815411718906,-1.351914939676341,,
,7,-0.5492495678598857,0.0914106186969767,,
,6,-0.2633642319365034,-0.1972544929776868,,
,4,1.6905953409682806,1.4577588139570508,,
,8,,,-0.8818968927665836,0.3976421081274861
,7,,,-0.5544611265721471,0.029454970972407
,6,,,1.8808423844989743,-0.3632779753263439
,4,,,0.1509062321862082,1.5022035195927237
,10,,,-0.5953905973464516,-1.5660226233662686
,8,,,,
,7,,,,
,6,,,,
,4,,,,
,10,,,,
,4,,,,
,8,,,-0.9046143450090344,
,7,,,-0.534547784032761,
,6,,,2.2178222632282707,
,4,,,0.2626555139283305,
,10,,,-0.5808061041547953,
,4,,,0.2518436580418194,
,3,,,-0.7123532020018298,
